source,target,dist_m
198,3629,27913.0
198,4074,69181.0
198,4099,44814.0
198,4729,70976.0
198,7315,81197.0
198,9457,36607.0
199,3980,77103.0
199,7709,13486.0
200,7713,22145.0
200,8043,14012.0
200,9798,13872.0
201,3049,32930.0
201,3686,45509.0
201,4280,61395.0
201,5542,7565.0
201,7650,54860.0
202,2561,41418.0
202,3614,60508.0
203,4567,262982.0
203,6455,25912.0
203,7954,70947.0
204,7253,36418.0
205,6239,18044.0
205,6951,20392.0
206,553,28093.0
206,709,316669.0
206,1052,52143.0
206,1568,528248.0
206,9033,336511.0
206,9066,272145.0
207,3979,28787.0
207,8717,19520.0
207,9336,19777.0
207,9997,74850.0
208,1060,20442.0
208,9500,13821.0
209,4725,69251.0
209,8606,88706.0
209,9343,47167.0
209,9470,47873.0
210,2076,5773.0
210,4461,7098.0
210,9150,8721.0
211,4335,39518.0
211,4548,151375.0
211,5781,50010.0
211,8986,12870.0
212,2269,3855.0
212,3435,10553.0
213,2470,6387.0
213,7343,54991.0
213,7747,40632.0
214,6653,5871.0
214,6797,58378.0
215,305,59928.0
215,359,60022.0
215,887,60054.0
215,3267,59863.0
215,3478,59931.0
215,3736,59846.0
215,3977,59998.0
215,6077,59872.0
215,6107,59839.0
215,7072,59925.0
215,7307,59848.0
215,7416,60049.0
215,7628,59990.0
215,9172,60021.0
216,7430,96525.0
216,9138,185537.0
216,10199,145418.0
217,1971,7572.0
217,2331,7225.0
218,3696,67730.0
218,6424,44826.0
218,7416,52852.0
218,8663,73609.0
219,677,240559.0
219,3529,8473.0
220,3501,22499.0
220,3839,61656.0
220,4025,22415.0
220,4399,30899.0
220,7963,134117.0
220,9091,32271.0
220,9543,17974.0
221,2123,9502.0
221,9815,16582.0
222,1291,22409.0
222,4176,33911.0
222,4278,29595.0
222,4912,112679.0
222,7287,69430.0
222,7639,335.0
222,7955,98610.0
222,8878,110675.0
223,915,63473.0
223,964,81327.0
223,4228,55506.0
223,6723,107765.0
224,482,42007.0
224,1041,19089.0
224,1150,23613.0
224,6096,45816.0
225,853,27676.0
225,1070,113430.0
225,3210,74717.0
225,6163,27814.0
225,6649,77329.0
225,8558,45539.0
225,10199,123698.0
226,3967,134357.0
226,4279,618051.0
226,4500,417939.0
226,6632,369741.0
226,7184,617288.0
226,8189,157430.0
227,3048,48808.0
227,5009,94120.0
227,8137,72034.0
227,9201,35962.0
228,4548,146752.0
228,6796,50374.0
228,8337,63452.0
228,9576,156275.0
229,3849,60296.0
229,10372,48209.0
230,280,10954.0
